ID,name,region
1841,JEANS,VIC
1587,SKG,VIC
17079,Phosphate,NSW
18532,rdwrd.,QLD
3070,Sonder,QLD
1278,Jono,WA
1234,1der,ACT
5507,EmanSaur,NSW
8023,Jonny,ACT
4312,Glissy,NSW
1122,Jamage,SA
1359,Flukey,VIC
4103,S,SA
4020,Pyjama Sam,SA
5609,StabbyJ,SA
5075,Jace,SA
2753,Kier,VIC
4130,Nil,SA
11711,Magician,NSW
1183,Errol,ACT
1502,Salad,VIC
5838,NXZ,QLD
1366,Slamdvnk,VIC
1378,Snoc,VIC
5239,Zyzz,NSW
1621,Miracle Penguin,NZ
4146,Banshee,SA
3238,Tom,VIC
1930,THRILL,QLD
5906,EZMac,VIC
1082,Josiah,QLD
5390,20XD,TAS
3598,Rush,WA
4030,Connor,VIC
4121,Super,SA
2096,Con,NSW
1613,cAKE,QLD
3556,AND,VIC
15163,Cowboy trickshot,WA
3764,Rick,VIC
3277,Mat,NZ
4676,Dan,VIC
5905,GotMilk,VIC
5062,Scott/Max,QLD
4026,PAC,VIC
4049,Justyboy69,VIC
4338,Bee,VIC
9582,GorillaDickDaddy,QLD
4357,Olah,NSW
2694,Nido,VIC
18921,HavocDog,SA
19575,ricyfood,NZ
2572,Chins,TAS
2564,Sam Drew,QLD
4383,Carlos Zos,ACT
5046,Boomer,WA
15586,Slash,VIC
1125,Nikes,SA
13858,arch,VIC
3546,iDeeKay,NZ
1855,KDOS,QLD
1864,Conan,VIC
7977,Maccamass,VIC
16487,Pinkie,QLD
16846,miffy,WA
9572,Kief,NZ
4331,Jacob,VIC
4118,coindoughnuts,SA
3933,Doom,VIC
15242,Michael,SA
5043,ThomKing,WA
15658,Faelyon,SA
4972,TmTa,SA
1756,James,SA
4050,CacaLongGhet,VIC
4202,Bryn,NSW
3312,Byrn,NSW
4109,KillJ,SA
2224,Jarr,WA
8278,Gong - Ethan Bradbury,NSW
1567,Pugnator,SA
1748,Mushiman,SA
3550,Matt,NZ
5192,PhilDaRed,QLD
3189,Munby,VIC
4353,Brandon,WA
4539,Plague,VIC
9577,Joshie,QLD
19582,Zoditick,QLD
18607,Jjef,SA
2750,Kewlkid,NSW
5040,Clover19,WA
13877,lagan,NZ
5700,Imlah,QLD
1167,Crashoverride,QLD
1412,davinchau,WA
5112,Hero,VIC
3853,Trip,NSW
4016,Bing,WA
4620,Crandall,WA
15257,kmw,NSW
3011,Setsulko,QLD
3063,Brian,VIC
15441,IntenseQuack,NSW
16088,Sourapple,QLD
17055,MikeTu,NZ
17509,Joeyboi,VIC
8104,E-1,NSW
15446,Jerry Swan,NSW
15483,Asian Turk,NSW
3429,420XX,WA
4796,Demon,NSW
1325,Rhastingo,QLD
8236,Gong - Riley Grogan,NSW
8339,Gong - Will Mark,NSW
2189,Azza,NSW
3106,Slothina,QLD
4143,Von-Icht,SA
1119,Nix,VIC
1792,CTRL,QLD
4733,Kss,QLD
3737,Chex,NZ
2913,Moonups,WA
4316,Deniz,VIC
4229,Dodo,WA
2255,Fahkim,QLD
4145,Peldogg,SA
4111,Legend,SA
4313,DN,VIC
2289,Rimey,WA
6975,Birdseed,NSW
10666,SquigeyLuigi,ACT
2435,Pat,NSW
3396,Harry,VIC
15477,Hytek,NSW
5119,JACS1818,VIC
5076,TRC,SA
1534,Lucas,NSW
1361,Generic,VIC
3652,Penwick,SA
15409,HikerNob,NZ
2242,CHKN,NZ
2111,Steve Buscemi,NSW
4360,Pisshead,NSW
2852,Shomtan,WA
1967,JHeards,VIC
1914,RosalinaSama,WA
1373,Mavrek,VIC
1767,TweetyPurd,VIC
1675,Andy,VIC
4119,solar+lunar=pikachu,SA
4356,CTR,NSW
3967,Rob Dogg,VIC
15158,Computer+,VIC
1124,Mozza,SA
3989,Xenon,SA
6963,Green,VIC
3713,Wanye,WA
1171,Invisi,NSW
1685,Nacht,TAS
2700,Iyavana1,VIC
4252,Dwayne,VIC
17557,Osven,VIC
4475,Mighty_Mike,NZ
2142,Donato,NSW
1416,Copycat,WA
17620,Chayme,VIC
16194,CORG,NSW
1947,Trunkle?!?,QLD
3375,DI,VIC
2493,Alex - Gametraders,NSW
1054,Ken,QLD
5406,Conor,TAS
3448,Dylen,NZ
4449,Andrew,VIC
3986,Derp,SA
4033,CoDex,VIC
3473,DarkD4n,VIC
5778,Cake,SA
1527,1carus,QLD
1282,Tux,VIC
3087,s_f,QLD
4261,Ilikesmallboobies,VIC
1992,Grur,QLD
2401,Bryan,NSW
17941,Rhasta,NZ
17211,Fidilduck,VIC
2506,Christien,NSW
5403,AyyLmao,TAS
15636,L33,SA
4808,Styx,NZ
4388,S2 Kevin,SA
1462,Weeg,VIC
4296,Hamish,SA
1835,Sceub,QLD
8126,Ned,NSW
9468,sinatra,QLD
16263,Trace,SA
19361,Andrew Chua,NZ
8106,VT,WA
1629,Glint,QLD
4434,Jann,ACT
15140,Delve,QLD
15482,Primed,NSW
5273,Alfonzo,VIC
4018,Chronic,WA
4138,dunnanddusted,SA
15173,nothx,NSW
8091,Danny,QLD
1913,the heron,WA
3155,droolz,VIC
3539,Ben,NZ
4666,Azz,VIC
